Author1,Author2,Weight
Pietro,Agnieszka,1
Pietro,Kavan,1
Pietro,Gerardo,1
Pietro,Pollock,1
Pietro,Correa,1
Felix A.,Agnieszka,1
Felix A.,Kavan,1
Felix A.,Gerardo,1
Felix A.,Pollock,1
Felix A.,Correa,1
Agnieszka,Kavan,1
Agnieszka,Gerardo,1
Agnieszka,Pollock,1
Agnieszka,Correa,1
Kavan,Gerardo,1
Kavan,Pollock,1
Kavan,Correa,1
Gerardo,Pollock,1
Gerardo,Correa,1
Pollock,Correa,1
M,Hassan,1
M,Trilochan,1
M,Mahbub,1
M,Shree Prasad,1
M,Panigrahi,1
Hassan,Trilochan,1
Hassan,Mahbub,1
Hassan,Shree Prasad,1
Hassan,Panigrahi,1
Trilochan,Mahbub,1
Trilochan,Shree Prasad,1
Trilochan,Panigrahi,1
Mahbub,Shree Prasad,1
Mahbub,Panigrahi,1
Shree Prasad,Panigrahi,1
Kruse,Dirk,1
Kruse,Schäfer,1
Kruse,Witthaut,1
Kruse,Johannes,1
Kruse,Benjamin,1
Dirk,Schäfer,1
Dirk,Witthaut,1
Dirk,Johannes,1
Dirk,Benjamin,1
Schäfer,Witthaut,1
Schäfer,Johannes,1
Schäfer,Benjamin,2
Witthaut,Johannes,1
Witthaut,Benjamin,1
Johannes,Benjamin,1
Gorjão,Jumar,1
Gorjão,Veit,1
Gorjão,Maaß,1
Gorjão,Heiko,1
Gorjão,Hagenmeyer,1
Gorjão,Schäfer,1
Gorjão,Leonardo Rydin,1
Gorjão,Richard,1
Gorjão,Benjamin,1
Jumar,Veit,1
Jumar,Maaß,1
Jumar,Heiko,1
Jumar,Hagenmeyer,1
Jumar,Schäfer,1
Jumar,Leonardo Rydin,1
Jumar,Richard,1
Jumar,Benjamin,1
Veit,Maaß,1
Veit,Heiko,1
Veit,Hagenmeyer,2
Veit,Schäfer,1
Veit,Leonardo Rydin,2
Veit,Richard,1
Veit,Benjamin,2
Maaß,Heiko,1
Maaß,Hagenmeyer,1
Maaß,Schäfer,1
Maaß,Leonardo Rydin,1
Maaß,Richard,1
Maaß,Benjamin,1
Heiko,Hagenmeyer,1
Heiko,Schäfer,1
Heiko,Leonardo Rydin,1
Heiko,Richard,1
Heiko,Benjamin,1
Hagenmeyer,Schäfer,1
Hagenmeyer,Leonardo Rydin,2
Hagenmeyer,Richard,1
Hagenmeyer,Benjamin,2
Schäfer,Leonardo Rydin,1
Schäfer,Richard,1
Leonardo Rydin,Richard,1
Leonardo Rydin,Benjamin,1
Richard,Benjamin,1
Elhoussin,Mohamed,1
Elhoussin,Elbouchikhi,1
Elhoussin,Choqueuse,1
Elhoussin,Benbouzid,1
Elhoussin,Vincent,1
Mohamed,Elbouchikhi,1
Mohamed,Choqueuse,1
Mohamed,Benbouzid,1
Mohamed,Vincent,1
Elbouchikhi,Choqueuse,1
Elbouchikhi,Benbouzid,1
Elbouchikhi,Vincent,1
Choqueuse,Benbouzid,1
Choqueuse,Vincent,1
Benbouzid,Vincent,1
Schulte,Nico,1
Schulte,Horst,1
Schulte,Goldschmidt,1
Nico,Horst,1
Nico,Goldschmidt,1
Horst,Goldschmidt,1
Singh,Mir,1
Singh,Abdul Saleem,1
Singh,Nilanjan,1
Singh,Senroy,1
Mir,Abhinav Kumar,1
Mir,Abdul Saleem,1
Mir,Nilanjan,1
Mir,Senroy,1
Abhinav Kumar,Abdul Saleem,1
Abhinav Kumar,Nilanjan,1
Abhinav Kumar,Senroy,1
Abdul Saleem,Nilanjan,1
Abdul Saleem,Senroy,1
